"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NECAB1",7.06659190709691,1.13916606580914,0.289480376082305,3.93520998288758,8.31239872008489e-05,0.000393717409774341
"HNRNPUL2",4.7999783713324,1.34897690091618,0.343268592795382,3.92979995615355,8.5016561438488e-05,0.000401720069828181
"NINL",5.77107736553578,-1.14336793366146,0.292751255368174,-3.90559532263499,9.39936968482133e-05,0.000439987980392586
"SHOC1",166.159296056828,1.16851132771718,0.299707133688508,3.89884389249017,9.66530591826899e-05,0.00045080566233993
"TCAF1P1",8.08516549258861,-1.03220413419276,0.265710624775321,-3.88469273694105,0.000102459384714542,0.000474891601929164
"SYCE1",4.35994452378085,-1.32386924882194,0.341871651000302,-3.87241599281003,0.000107761823619115,0.000496209322459668
"CFD",210.717626964708,-1.21843750935976,0.315869380954903,-3.85740936863302,0.000114595148783193,0.000523021421268855
"RPL7",400.756169516876,1.00778440072974,0.263155239736156,3.8296193598127,0.000128341621733721,0.000578450032121769
"WDR62",2.29126941603914,-2.10826752832264,0.556175594139748,-3.79065092128603,0.000150253001595535,0.000666565244506819
"MMP14",6.91518029455993,-1.0477776313376,0.276622058482163,-3.78775878209714,0.000152012323247818,0.000673216013425236
"MS4A3",8.17658197870655,1.59692349788527,0.421775813371867,3.78619031072156,0.000152974534443021,0.000676512559469321
"KCNJ13",6.01538574327099,-1.2411660126898,0.327885530019688,-3.78536379026934,0.000153483884253182,0.000678378670879351
"OR2AP1",3.64407749314211,1.5276771743344,0.406010321703389,3.76265600323937,0.000168118373057129,0.000737602141412277
"CHRM3",2.8300277229531,1.42877699590018,0.380362443243999,3.75635665738858,0.000172404945772569,0.000754212863181222
"MTX3",15.9616040274186,1.11523066923236,0.298842099115944,3.73183923058871,0.000190086808440108,0.000822826282310999
"CYP4F22",8.53820542430438,-1.02248249131856,0.274322684185544,-3.72729836161483,0.000193543291836648,0.000835415522321784
"GOLGA3",52.6941897429093,-1.07265204667517,0.289169300138769,-3.70942574526555,0.000207729868013891,0.000888545912025256
"HMGB1P5",7.56992234013199,2.19748107685962,0.593580568762501,3.70207717789843,0.000213841543805398,0.000911173888766856
